index,stream,Zscore,al_year,sub1,sub1_r,sub2,sub2_r,sub3,sub3_r,cgt_r,ge_r,syllabus,birth_day,birth_month,birth_year,gender
197401,ARTS,-0.5977,2020,POLITICAL SCIENCE,F,BUDDHIST CIVILIZATION,S,SINHALA,S,036,F,new,16,August,1989,male
117518,ARTS,0.5419,2020,POLITICAL SCIENCE,C,BUDDHIST CIVILIZATION,C,SINHALA,B,044,F,new,12,March,2001,female
136408,ARTS,1.1139,2020,GEOGRAPHY,B,POLITICAL SCIENCE,B,ARABIC,A,048,C,new,31,October,2000,female
250135,ARTS,-0.5008,2020,GEOGRAPHY,S,ART,S,SINHALA,S,032,F,new,12,January,2002,male
193614,ARTS,0.3237,2020,GEOGRAPHY,S,COMMUNICATION & MEDIA STUDIES,C,SINHALA,C,034,F,new,24,July,2000,female
147186,ARTS,-0.5027,2020,GEOGRAPHY,S,COMMUNICATION & MEDIA STUDIES,S,DANCING(INDIGENOUS),S,046,S,new,2,April,2001,female
86982,ARTS,0.1887,2020,POLITICAL SCIENCE,S,LOGIC & SCIENTIFIC METHOD,C,SINHALA,B,Absent,F,new,19,September,2000,female
296399,ARTS,0.1142,2020,GEOGRAPHY,S,CARNATIC MUSIC,C,TAMIL,C,030,F,new,8,November,2001,female
5539,ARTS,0.6191,2020,POLITICAL SCIENCE,C,CHRISTIANITY,A,SINHALA,S,040,S,new,15,December,2000,male
188737,ARTS,0.7425,2020,AGRICULTURAL SCIENCE,C,AGRO TECHNOLOGY,S,DRAMA AND THEATRE (SINHALA),B,028,F,new,2,October,2000,female
44163,ARTS,0.9736,2020,GEOGRAPHY,C,LOGIC & SCIENTIFIC METHOD,B,SINHALA,B,046,S,new,25,January,2002,female
73128,ARTS,-0.2582,2020,COMMUNICATION & MEDIA STUDIES,S,BUDDHIST CIVILIZATION,S,SINHALA,C,042,F,new,2,June,2001,female
248748,ARTS,-0.2008,2020,GEOGRAPHY,S,POLITICAL SCIENCE,C,TAMIL,S,020,C,new,2,April,2000,female
42352,ARTS,0.5747,2020,HISTORY OF SRI LANKA & INDIA,A,ORIENTAL MUSIC,S,JAPANESE,A,040,F,new,7,January,2002,female
208380,ARTS,0.4385,2020,AGRICULTURAL SCIENCE,S,GEOGRAPHY,B,BUDDHIST CIVILIZATION,S,046,F,new,9,February,2000,male
130100,ARTS,0.1859,2020,HISTORY OF SRI LANKA & INDIA,C,COMMUNICATION & MEDIA STUDIES,S,SINHALA,B,Absent,S,new,14,July,2000,female
193860,ARTS,-0.1275,2020,GEOGRAPHY,S,DANCING(INDIGENOUS),C,SINHALA,C,036,S,new,28,November,1999,female
135882,ARTS,-0.4016,2020,GEOGRAPHY,S,BUDDHIST CIVILIZATION,S,SINHALA,C,034,F,new,15,February,2001,female
197991,ARTS,-1.0586,2020,POLITICAL SCIENCE,F,BUDDHIST CIVILIZATION,S,SINHALA,S,030,Absent,new,7,March,2001,male
29213,ARTS,-0.0996,2020,INFORMATION & COMMUNICATION TECHNOLOGY,S,DANCING(INDIGENOUS),B,ENGLISH,S,034,A,new,31,August,2001,female
